iter	Passed	Remaining
808	9498	2242
809	9509	2230
810	9520	2218
811	9530	2206
812	9541	2194
813	9552	2182
814	9564	2171
815	9577	2159
816	9588	2147
817	9598	2135
818	9609	2123
819	9620	2111
820	9629	2099
821	9640	2087
822	9650	2075
823	9662	2063
824	9675	2052
825	9686	2040
826	9696	2028
827	9708	2016
828	9719	2004
829	9729	1992
830	9741	1981
831	9755	1969
832	9766	1958
833	9780	1946
834	9808	1938
835	9852	1932
836	9864	1921
837	9875	1909
838	9887	1897
839	9898	1885
840	9908	1873
841	9919	1861
842	9929	1849
843	9940	1837
844	9951	1825
845	9960	1813
846	9971	1801
847	9982	1789
848	9995	1777
849	10005	1765
850	10016	1753
851	10026	1741
852	10037	1729
853	10048	1717
854	10058	1705
855	10070	1694
856	10081	1682
857	10094	1670
858	10104	1658
859	10115	1646
860	10125	1634
861	10136	1622
862	10148	1610
863	10158	1598
864	10168	1586
865	10180	1575
866	10190	1563
867	10202	1551
868	10213	1539
869	10223	1527
870	10234	1515
871	10246	1504
872	10256	1492
873	10267	1480
874	10279	1468
875	10290	1456
876	10304	1445
877	10314	1433
878	10325	1421
879	10336	1409
880	10346	1397
881	10357	1385
882	10367	1373
883	10379	1362
884	10389	1350
885	10399	1338
886	10410	1326
887	10423	1314
888	10433	1302
889	10444	1290
890	10455	1279
891	10468	1267
892	10482	1255
893	10494	1244
894	10547	1237
895	10570	1226
896	10581	1215
897	10592	1203
898	10602	1191
899	10612	1179
900	10622	1167
901	10635	1155
902	10645	1143
903	10657	1131
904	10666	1119
905	10678	1107
906	10689	1096
907	10699	1084
908	10709	1072
909	10720	1060
910	10733	1048
911	10743	1036
912	10754	1024
913	10764	1012
914	10775	1001
915	10786	989
916	10796	977
917	10806	965
918	10816	953
919	10827	941
920	10838	929
921	10850	917
922	10861	906
923	10872	894
924	10883	882
925	10893	870
926	10903	858
927	10913	846
928	10929	835
929	10940	823
930	10951	811
931	10964	799
932	10976	788
933	10987	776
934	10998	764
935	11008	752
936	11018	740
937	11028	728
938	11039	717
939	11050	705
940	11063	693
941	11074	681
942	11085	670
943	11095	658
944	11105	646
945	11116	634
946	11126	622
947	11136	610
948	11147	599
949	11157	587
950	11169	575
951	11181	563
952	11191	551
953	11200	540
954	11210	528
955	11222	516
956	11233	504
957	11243	492
958	11253	481
959	11264	469
960	11279	457
961	11289	445
962	11300	434
963	11310	422
964	11321	410
965	11334	398
966	11345	387
967	11355	375
968	11368	363
969	11379	351
970	11389	340
971	11400	328
972	11411	316
973	11421	304
974	11432	293
975	11442	281
976	11453	269
977	11465	257
978	11476	246
979	11487	234
980	11498	222
981	11509	210
982	11519	199
983	11529	187
984	11541	175
985	11550	164
986	11562	152
987	11573	140
988	11585	128
989	11596	117
990	11607	105
991	11618	93
992	11629	81
993	11639	70
994	11649	58
995	11662	46
996	11672	35
997	11686	23
998	11696	11
999	11707	0
